,5m,10m,15m,20m
1.3,0,0.047762,0.11824,0.193456
1.6,0,0.048417,0.101377,0.178613
1.9,0,0.047494,0.108278,0.18613
2.2,0.0001,0.040713,0.102717,0.180687
2.5,0,0.044322,0.110463,0.182298
2.8,0,0.051079,0.110566,0.194437
3.1,0,0.045438,0.113375,0.189813
3.4,0,0.041437,0.107308,0.174652
3.7,0,0.053874,0.112348,0.200505
4,0,0.053329,0.121231,0.202697
4.3,0.0001,0.052779,0.116268,0.199472
4.6,0.0001,0.052348,0.121785,0.215779
4.9,0,0.066287,0.122317,0.214119
5.2,0,0.064686,0.137085,0.22342
5.5,0,0.066234,0.141312,0.225703
5.8,0.0001,0.061044,0.130148,0.229333
6.1,0,0.068682,0.141278,0.238333
6.4,0.0001,0.068193,0.132864,0.231289
6.7,0,0.070559,0.15431,0.260456
7,0,0.076477,0.159802,0.261245
7.3,0,0.078575,0.157912,0.245096
7.6,0,0.085008,0.147936,0.241996
7.9,0,0.074222,0.150929,0.228825
8.2,0,0.078365,0.157862,0.244259
8.5,0,0.073664,0.153688,0.236175
8.8,0.0001,0.074557,0.15716,0.244958
9.1,0,0.080595,0.153234,0.234561
9.4,0,0.075389,0.153444,0.235445
9.7,0,0.091412,0.155171,0.248356
10,0.0001,0.084405,0.17439,0.259791
10.3,0,0.082441,0.175788,0.236918
10.6,0,0.077879,0.187985,0.255321
10.9,0,0.07788,0.183897,0.257245
11.2,0,0.089531,0.188358,0.260846
11.5,0,0.084564,0.190659,0.267527
11.8,0,0.077371,0.186352,0.267637
12.1,0.0001,0.085419,0.197892,0.27713
12.4,0,0.088896,0.18784,0.267712
12.7,0,0.086325,0.193712,0.273604
13,0,0.079472,0.204325,0.294343
13.3,0,0.084461,0.201083,0.310991
13.6,0,0.08159,0.205544,0.292155
13.9,0,0.090936,0.231092,0.309724
14.2,0,0.079976,0.224013,0.327078
14.5,0,0.08979,0.218516,0.334359
14.8,0,0.073751,0.218161,0.317121
15.1,0,0.079482,0.231264,0.326151
15.4,0,0.086932,0.248189,0.347916
15.7,0.0001,0.092397,0.258562,0.389631
16,0.0001,0.090275,0.26357,0.390501
16.3,0.0001,0.087574,0.26254,0.388985
16.6,0.0001,0.084927,0.276364,0.407352
16.9,0,0.093639,0.297666,0.431219
17.2,0,0.109006,0.297154,0.448063
17.5,0,0.113917,0.316122,0.479129
17.8,0.0001,0.11585,0.331719,0.496647
18.1,0.0001,0.123838,0.343722,0.510753
18.4,0.0001,0.114917,0.342444,0.510604
18.7,0.0003,0.125517,0.368359,0.529606
19,0.0004,0.128011,0.385282,0.554963
19.3,0.0004,0.128629,0.399869,0.574454
19.6,0.0005,0.141428,0.416841,0.587113
19.9,0.0004,0.152004,0.433672,0.602541
20.2,0.001,0.166952,0.476129,0.635243
20.5,0.0015,0.181673,0.47846,0.65099
20.8,0.0016,0.183616,0.489803,0.662779
21.1,0.0027,0.193312,0.518033,0.677903
21.4,0.0047,0.209218,0.550032,0.697966
21.7,0.0091,0.223879,0.562402,0.709691
22,0.011,0.227593,0.583258,0.727707
22.3,0.0097,0.240358,0.615331,0.75016
22.6,0.0083,0.264479,0.633729,0.779248
22.9,0.0084,0.285481,0.667376,0.79629
23.2,0.0124,0.314844,0.704682,0.814261
23.5,0.0151,0.335203,0.718286,0.832161
23.8,0.0202,0.360638,0.737222,0.845949
24.1,0.0203,0.384653,0.761953,0.857922
24.4,0.0226,0.41186,0.787693,0.868909
24.7,0.0211,0.441454,0.808647,0.884008
25,0.0227,0.486163,0.826686,0.898727
25.3,0.0256,0.51941,0.837733,0.911957
25.6,0.027,0.571843,0.854959,0.925786
25.9,0.0349,0.600511,0.86497,0.936686
26.2,0.0315,0.610216,0.882183,0.942688
26.5,0.038,0.632304,0.901043,0.957309
26.8,0.0421,0.689709,0.91736,0.969335
27.1,0.0618,0.715632,0.930914,0.97418
27.4,0.0678,0.762286,0.958868,0.976496
27.7,0.0597,0.812753,0.978745,0.974696
28,0.0938,0.833333,0.98125,0.983333
28.3,0.0711,0.902222,0.933333,0.995556
28.6,0.0755,0.877358,0.933962,1
28.9,0.1618,0.897059,0.941176,1
29.2,0.0238,0.785714,0.880952,1
29.5,0,0.771429,0.8,1
29.8,0,0.647059,0.647059,1
30.1,0,0.666667,0.583333,1
30.4,0,0.692308,0.769231,1
30.7,0,0.444444,0.666667,1
31,0,0.8,0.6,1
