,5m,10m,15m,20m
1.3,0,0.072684,0.207019,0.326231
1.6,0,0.072994,0.183424,0.298064
1.9,0,0.066072,0.169714,0.29179
2.2,0,0.063965,0.164445,0.280468
2.5,0,0.056586,0.142819,0.276819
2.8,0,0.057497,0.150114,0.274026
3.1,0,0.05919,0.148725,0.263298
3.4,0,0.056338,0.130903,0.245473
3.7,0,0.055875,0.146924,0.264251
4,0,0.051142,0.142892,0.254793
4.3,0,0.055658,0.144571,0.265533
4.6,0,0.05936,0.147317,0.269251
4.9,0,0.058136,0.150065,0.26756
5.2,0,0.056832,0.15332,0.267751
5.5,0,0.056626,0.150109,0.272266
5.8,0,0.056564,0.151399,0.273048
6.1,0,0.052899,0.146652,0.266966
6.4,0,0.059134,0.142933,0.258863
6.7,0,0.057825,0.145572,0.260099
7,0,0.067428,0.159934,0.273089
7.3,0,0.065647,0.149845,0.279322
7.6,0,0.063903,0.150846,0.295727
7.9,0,0.067295,0.158816,0.299536
8.2,0,0.066216,0.173312,0.30452
8.5,0.0001,0.0625,0.168133,0.308527
8.8,0,0.072116,0.175896,0.326824
9.1,0,0.069447,0.182611,0.337345
9.4,0,0.066781,0.189362,0.330405
9.7,0,0.072405,0.200657,0.347881
10,0.0001,0.078973,0.204063,0.361879
10.3,0,0.080202,0.212866,0.387763
10.6,0,0.084473,0.226716,0.411489
10.9,0,0.083106,0.241988,0.411574
11.2,0.0002,0.080279,0.260123,0.423629
11.5,0.0001,0.091454,0.276038,0.444573
11.8,0.0001,0.097442,0.288951,0.463711
12.1,0.0001,0.103099,0.306785,0.497712
12.4,0.0002,0.111656,0.317865,0.518717
12.7,0.0002,0.123284,0.338902,0.532764
13,0.0006,0.132138,0.36206,0.550442
13.3,0.0014,0.142087,0.374803,0.57295
13.6,0.0026,0.161738,0.400762,0.593783
13.9,0.0054,0.174184,0.426263,0.610927
14.2,0.0057,0.191613,0.446778,0.634299
14.5,0.0059,0.208413,0.462462,0.65969
14.8,0.0067,0.228057,0.486401,0.672487
15.1,0.0078,0.249713,0.502664,0.685549
15.4,0.0095,0.255881,0.521748,0.701092
15.7,0.0112,0.279817,0.546726,0.714401
16,0.0132,0.294589,0.570583,0.732642
16.3,0.0135,0.316505,0.595779,0.742813
16.6,0.0138,0.323361,0.614888,0.754201
16.9,0.0166,0.343354,0.625438,0.765371
17.2,0.0228,0.368643,0.641615,0.771917
17.5,0.0286,0.391065,0.66659,0.790836
17.8,0.0329,0.405516,0.6795,0.807732
18.1,0.0333,0.427681,0.681016,0.810718
18.4,0.0371,0.456803,0.699262,0.822213
18.7,0.0424,0.476654,0.713723,0.836784
19,0.0525,0.482016,0.731568,0.841862
19.3,0.0593,0.490307,0.740659,0.846052
19.6,0.0682,0.506245,0.758358,0.864071
19.9,0.081,0.520458,0.769766,0.870196
20.2,0.0858,0.523503,0.776942,0.882632
20.5,0.0819,0.519813,0.780075,0.876948
20.8,0.0792,0.543497,0.790898,0.881922
21.1,0.0813,0.56617,0.809487,0.892967
21.4,0.0855,0.597732,0.825995,0.896153
