,5m,10m,15m,20m
1.3,0.0002,0.056042,0.108225,0.196832
1.6,0,0.056152,0.115937,0.211025
1.9,0,0.054177,0.119329,0.197542
2.2,0,0.047837,0.106451,0.191425
2.5,0,0.0591,0.108481,0.188823
2.8,0,0.056584,0.101377,0.160573
3.1,0,0.059643,0.095705,0.156888
3.4,0,0.053721,0.093484,0.148909
3.7,0,0.060277,0.102811,0.156952
4,0,0.058371,0.094916,0.149311
4.3,0.0001,0.056354,0.090433,0.15485
4.6,0,0.055093,0.085938,0.143753
4.9,0,0.061264,0.10025,0.168537
5.2,0,0.067084,0.103008,0.171763
5.5,0,0.056436,0.104504,0.176073
5.8,0.0001,0.064877,0.096479,0.17368
6.1,0,0.06324,0.114814,0.184721
6.4,0.0001,0.07063,0.117121,0.185159
6.7,0.0002,0.060998,0.099584,0.166817
7,0.0003,0.066667,0.101628,0.174293
7.3,0.0001,0.066896,0.107561,0.176657
7.6,0.0001,0.071962,0.117323,0.197312
7.9,0,0.075102,0.110427,0.178237
8.2,0.0002,0.082389,0.125919,0.209501
8.5,0.0002,0.07828,0.126635,0.21304
8.8,0,0.086214,0.133177,0.217047
9.1,0.0002,0.079229,0.122426,0.216391
9.4,0.0002,0.082674,0.130909,0.23369
9.7,0.0003,0.075252,0.130742,0.229449
10,0.0005,0.083421,0.127927,0.235182
10.3,0.0004,0.079522,0.130087,0.23692
10.6,0.0003,0.081644,0.1348,0.239259
10.9,0.0002,0.09389,0.149156,0.258715
11.2,0.0002,0.085526,0.142703,0.261982
11.5,0.0001,0.088431,0.15651,0.301
11.8,0.0003,0.092877,0.176706,0.312185
12.1,0.0003,0.085916,0.165993,0.302898
12.4,0.0003,0.089488,0.171784,0.314348
12.7,0,0.083448,0.170345,0.324598
13,0,0.10319,0.200276,0.349418
13.3,0,0.104172,0.20764,0.364659
13.6,0.0002,0.108006,0.218143,0.370796
13.9,0,0.098459,0.227628,0.374741
14.2,0.0001,0.105072,0.253039,0.393058
14.5,0.0004,0.106413,0.251069,0.401663
14.8,0.0006,0.105888,0.245833,0.417436
15.1,0.0005,0.117777,0.268756,0.459925
15.4,0.0005,0.11764,0.285895,0.489384
15.7,0.0004,0.112316,0.300295,0.49287
16,0.0004,0.1245,0.305549,0.496003
16.3,0.0006,0.121605,0.332034,0.526189
16.6,0.0001,0.153589,0.385086,0.577295
16.9,0.0004,0.163624,0.409283,0.59862
17.2,0.0006,0.160359,0.418659,0.604803
17.5,0.0008,0.165172,0.442924,0.619085
17.8,0.0007,0.187065,0.464456,0.636595
18.1,0.0014,0.212328,0.472646,0.667911
18.4,0.0015,0.232492,0.490121,0.684523
18.7,0.0026,0.246352,0.505163,0.694164
19,0.0041,0.256755,0.513955,0.695763
19.3,0.0069,0.278024,0.558145,0.714752
19.6,0.0099,0.306274,0.596191,0.750854
19.9,0.0108,0.303979,0.620122,0.769767
20.2,0.0155,0.316125,0.621875,0.7885
