,5m,10m,15m,20m
1.3,230.4,222.6,212.8,186.7
1.6,201,196.2,191,168.6
1.9,184.2,183.2,181.6,161
2.2,162.1,160.3,161.9,158.7
2.5,158.9,160.1,157.8,157.7
2.8,154.5,162.2,153.4,154.4
3.1,147.2,146.6,144,141.4
3.4,169.6,165.1,155.2,156.1
3.7,178.3,175.4,161.9,154.8
4,169.7,163.8,155.1,146.7
4.3,176.4,169.6,157.2,147.4
4.6,156.6,156.6,141.6,136.5
4.9,148.5,150.1,135.1,133.2
5.2,138.4,136.3,129.5,123.1
5.5,134.2,135.9,128.2,119.2
5.8,121,120.6,113.6,108.7
6.1,128.1,129.6,124.2,118.7
6.4,132.4,131.5,130.3,127.9
6.7,131.6,132.1,128.1,126.6
7,145.4,139.9,140.4,126.2
7.3,139.8,140.7,138.8,123.3
7.6,136.2,133,132.4,123.8
7.9,111.9,110.4,112.4,99.7
8.2,94,93.6,93.8,85.2
8.5,95.9,96.1,93.3,93.7
8.8,104.8,105,101.9,93.9
9.1,101.6,100.6,98.2,97.3
9.4,103.1,101.2,100.6,90.4
9.7,95.3,93.8,90.1,81.3
10,87.1,85.3,80.7,76.3
10.3,95.3,92.2,89.2,79
10.6,83.8,80.8,82.1,67.7
10.9,90,88.9,87.3,81.1
11.2,99.9,98.3,99.4,93.7
11.5,98.5,95.9,97.7,91
11.8,103.6,104,98.1,88.6
12.1,111.1,111.5,108.1,95.8
12.4,109.3,107.5,104,96
12.7,115.1,112,107.9,97.2
13,114.7,113.5,107.9,101.6
13.3,114.8,114.3,114.6,101.2
13.6,135.6,135.7,132.8,118
13.9,149.9,148.5,143.5,123.3
14.2,153.3,152,141.2,126.1
14.5,151,149.6,139.4,129.5
14.8,136.4,135.6,129.7,118.4
15.1,142.3,141.1,134,119.6
15.4,149.3,148.2,144.2,131.6
15.7,155,149.6,140.8,125.7
16,152.9,147.8,144.3,133.6
16.3,155.2,151.6,147.1,127.2
16.6,177.2,175,168.5,146.5
16.9,189.1,183.7,174.9,162.4
17.2,204.7,203.8,194.3,170.5
17.5,195.8,193,187.6,167
17.8,209.6,205.1,197,178.1
18.1,230.6,227.2,212.7,191.6
18.4,219.1,221.3,211.1,187.6
18.7,221.4,220.9,205.2,185.5
19,212,210.6,201.8,169.2
19.3,216.9,212.4,205.2,169
19.6,243.2,234.4,225.6,190
19.9,267.6,261.6,245.5,202.5
20.2,276.9,268.8,247.6,210
20.5,257,255.5,228.1,190.4
20.8,265.5,255.7,235.5,191.3
21.1,268.6,260.9,235.6,191
21.4,259.3,246.8,215.1,178.2
21.7,268.5,254.3,225.9,169.4
22,266.5,247.8,210.8,167.4
22.3,256.4,245,211.1,149.6
22.6,272.4,252.8,210.2,168.4
22.9,287.6,266.4,220.9,171.8
23.2,298.9,274.7,232.7,181.2
23.5,272.3,236,197,149.6
23.8,267.8,236.5,198,137.8
24.1,284.7,246.1,204.1,137.1
24.4,284.4,243.1,195.8,143.1
24.7,298,245.5,205.8,132.5
25,302.6,249.3,206.2,145.4
25.3,308.7,252.2,206.4,132.8
25.6,318.6,260.2,217.3,146
25.9,324.6,269.4,224.5,136
26.2,320.7,263.3,210.2,128.3
26.5,316.3,251.4,199.2,135.4
26.8,313.7,250,197.1,125.9
27.1,292.1,237.2,190.6,119.5
27.4,275.6,225.7,177,106.4
27.7,255,202.6,153.6,98.5
28,234.5,185.9,145.9,90
28.3,232.1,190.4,147.8,93.9
28.6,244.5,194,156.1,102.6
28.9,237.3,183.3,146.2,89.4
29.2,230.1,177.7,132.1,84.3
29.5,215.6,161.5,120.7,74.3
29.8,198.7,146.9,105.6,65.6
30.1,186.9,131.7,104.2,61.8
30.4,161.6,119,95.1,48.6
30.7,140.1,97.2,69.5,37.2
31,124.4,85.4,73.1,36.1
31.3,108.7,74,59.8,31.5
31.6,93.7,64.3,49.1,28.5
31.9,83.2,58.6,41.9,21.4
32.2,71.9,44.5,36.4,20.8
32.5,55.4,35.3,25,12.6
32.8,52.3,35.2,30.3,18.8
33.1,45,30.4,23.4,15.3
33.4,41.3,26.4,18.3,13
33.7,37.3,21.6,20.3,13.9
34,31.1,15.4,15,8.9
34.3,23.6,14.1,11.9,6
34.6,17.2,9,9.5,3.8
34.9,12.8,5.8,8,4.3
35.2,8.1,3.6,3.6,1.9
35.5,5.2,2.1,4.4,1.5
35.8,4.3,2.1,1.5,0
36.1,2.4,1.3,0.3,0
36.4,1.2,1.3,0,0
36.7,0.2,0,0,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
