,5mPAR,5mNIR,10mPAR,10mNIR
0.15,0.000016,0,0,0.000034
0.45,0,0,0,0
0.75,0.000081,0,0.000016,0
1.05,0.000132,0.000146,0.00038,0.000115
1.35,0.000721,0.000566,0.001106,0.000637
1.65,0.001202,0.000691,0.001069,0.00078
1.95,0.002737,0.001344,0.002436,0.00125
2.25,0.001947,0.001152,0.002266,0.001302
2.55,0.001991,0.001328,0.002775,0.001498
2.85,0.002253,0.00119,0.001808,0.001155
3.15,0.001574,0.00132,0.002424,0.001267
3.45,0.002328,0.001267,0.001653,0.001426
3.75,0.002178,0.001587,0.00243,0.001395
4.05,0.002719,0.001426,0.002282,0.001537
4.35,0.002906,0.001895,0.003564,0.001744
4.65,0.00278,0.001554,0.002765,0.001572
4.95,0.003489,0.002002,0.003019,0.001804
5.25,0.003057,0.001323,0.003377,0.001385
5.55,0.002233,0.001292,0.002386,0.001409
5.85,0.001834,0.001176,0.002436,0.001193
6.15,0.002501,0.001425,0.002738,0.001469
6.45,0.002383,0.001281,0.002654,0.001405
6.75,0.003018,0.00153,0.00316,0.001485
7.05,0.001992,0.001695,0.004079,0.001786
7.35,0.00349,0.001556,0.003344,0.00176
7.65,0.003635,0.001631,0.003926,0.002048
7.95,0.002212,0.001399,0.002543,0.001403
8.25,0.003711,0.001489,0.002943,0.001153
8.55,0.001784,0.001401,0.002873,0.001443
8.85,0.002244,0.001404,0.003205,0.001005
9.15,0.001676,0.001057,0.002674,0.001312
9.45,0.001384,0.001146,0.002254,0.001329
9.75,0.002252,0.001134,0.002277,0.001528
10.05,0.001252,0.001155,0.002368,0.001135
10.35,0.001903,0.001275,0.002136,0.001194
10.65,0.001499,0.001074,0.002014,0.001115
10.95,0.002117,0.001184,0.002418,0.001037
11.25,0.001706,0.001032,0.002361,0.000995
11.55,0.001695,0.001461,0.002554,0.001249
11.85,0.001314,0.001328,0.00191,0.001328
12.15,0.001651,0.001131,0.001978,0.001149
12.45,0.001693,0.001223,0.002601,0.00128
12.75,0.001962,0.001422,0.001736,0.001338
13.05,0.002325,0.001171,0.003024,0.001588
13.35,0.001938,0.001314,0.002277,0.001408
13.65,0.002764,0.001458,0.002313,0.001481
13.95,0.003564,0.001574,0.002761,0.001752
14.25,0.003793,0.001886,0.003032,0.002119
14.55,0.001998,0.001992,0.003673,0.00208
14.85,0.002796,0.001765,0.003204,0.002067
15.15,0.003583,0.001937,0.003492,0.001985
15.45,0.003028,0.001786,0.003993,0.001942
15.75,0.003724,0.002117,0.004451,0.002376
16.05,0.003744,0.002164,0.004698,0.002347
16.35,0.004107,0.002135,0.004573,0.002283
16.65,0.003413,0.002401,0.004105,0.00231
16.95,0.003976,0.002583,0.005081,0.002611
17.25,0.004849,0.002767,0.007544,0.002807
17.55,0.006589,0.003346,0.007425,0.003355
17.85,0.006358,0.003022,0.007811,0.003563
18.15,0.006309,0.003488,0.006246,0.00372
18.45,0.006203,0.003742,0.007312,0.003925
18.75,0.007426,0.003384,0.007807,0.004174
19.05,0.005969,0.003704,0.00665,0.003838
19.35,0.006393,0.00375,0.00735,0.003697
19.65,0.00649,0.003841,0.007762,0.003968
19.95,0.009015,0.003894,0.010005,0.004456
20.25,0.0088,0.004164,0.008695,0.004934
20.55,0.008051,0.004823,0.010018,0.005471
20.85,0.011096,0.0046,0.010488,0.005452
21.15,0.009345,0.004741,0.010879,0.004706
21.45,0.011458,0.004811,0.012921,0.005509
21.75,0.01149,0.004961,0.012713,0.00542
22.05,0.008067,0.004857,0.011284,0.005267
22.35,0.010982,0.005467,0.012917,0.005725
22.65,0.012494,0.005341,0.012138,0.005328
22.95,0.012945,0.005536,0.013037,0.005384
23.25,0.013867,0.00598,0.017335,0.00603
23.55,0.012389,0.005976,0.016888,0.006093
23.85,0.012918,0.006221,0.016816,0.005962
24.15,0.017647,0.006195,0.014998,0.005425
24.45,0.015557,0.006416,0.014729,0.005766
24.75,0.017623,0.006524,0.017599,0.005746
25.05,0.01735,0.006703,0.017926,0.005846
25.35,0.020987,0.007498,0.019003,0.006103
25.65,0.021861,0.007345,0.021295,0.006731
25.95,0.022172,0.008127,0.02079,0.006634
26.25,0.023404,0.008456,0.023211,0.006679
26.55,0.022233,0.008614,0.020569,0.007266
26.85,0.021637,0.00808,0.021618,0.006933
27.15,0.024019,0.0079,0.020722,0.006974
27.45,0.023242,0.007634,0.020816,0.006491
27.75,0.021727,0.007417,0.019679,0.006079
28.05,0.020089,0.006782,0.017837,0.005484
28.35,0.020472,0.00647,0.018701,0.005596
28.65,0.020153,0.006015,0.017922,0.005375
28.95,0.018811,0.00639,0.018826,0.00523
